Class Name,Season,Section,Class Number,Meeting Time,Location,Instructor,Insutructor Url,Syllabus Url
ANI 423,Fall 2015-2016,Section:701,Class number:11718,Meeting time:Tu5:45PM-9:00PM,Location:CDM 00722atLoop Campus,Mary Omelina,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=795,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20161&ClassNbr=11718&fid=79335
ANI 423,Fall 2014-2015,Section:701,Class number:10637,Meeting time:Tu5:45PM-9:00PM,Location:CDM 00722atLoop Campus,Mary Omelina,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=795,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20151&ClassNbr=10637&fid=79335
ANI 460,Fall 2015-2016,Section:701,Class number:11438,Meeting time:M5:45PM-9:00PM,Location:14EAS 00507atLoop Campus,Alexander Stewart,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=446,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20161&ClassNbr=11438&fid=104536
ANI 460,Fall 2014-2015,Section:701,Class number:10300,Meeting time:W5:45PM-9:00PM,Location:CDM 0436AatLoop Campus,Lisa Barcy,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=444,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20151&ClassNbr=10300&fid=103962
ANI 460,Fall 2013-2014,Section:701,Class number:11261,Meeting time:W5:45PM-9:00PM,Location:CDM 0436AatLoop Campus,Lisa Barcy,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=444,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20141&ClassNbr=11261&fid=103962
ANI 460,Fall 2012-2013,Section:701,Class number:15316,Meeting time:W5:45PM-9:00PM,Location:CDM 0436AatLoop Campus,Lisa Barcy,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=444,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20131&ClassNbr=15316&fid=103962
ANI 460,Fall 2011-2012,Section:701,Class number:15835,Meeting time:W5:45PM-9:00PM,Location:CDM 0436AatLoop Campus,Lisa Barcy,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=444,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20121&ClassNbr=15835&fid=103962
ANI 421,Fall 2015-2016,Section:701,Class number:11719,Meeting time:W5:45PM-9:00PM,Location:CDMCT 00527atLoop Campus,Steve Socki,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=1171,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20161&ClassNbr=11719&fid=926557
ANI 421,Fall 2014-2015,Section:701,Class number:10638,Meeting time:M5:45PM-9:00PM,Location:CDMCT 00527atLoop Campus,Steve Socki,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=1171,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20151&ClassNbr=10638&fid=926557
ANI 421,Fall 2013-2014,Section:701,Class number:15862,Meeting time:Tu5:45PM-9:00PM,Location:CDMCT 00527atLoop Campus,Steve Socki,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=1171,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20141&ClassNbr=15862&fid=926557
ANI 421,Fall 2012-2013,Section:701,Class number:15309,Meeting time:Th5:45PM-9:00PM,Location:CDM A0527atLoop Campus,Scott Roberts,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=417,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20131&ClassNbr=15309&fid=594772
ANI 421,Fall 2011-2012,Section:701,Class number:15557,Meeting time:M5:45PM-9:00PM,Location:CDM 00722atLoop Campus,Scott Roberts,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=417,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20121&ClassNbr=15557&fid=594772
ANI 425,Winter 2015-2016,Section:801,Class number:22689,Meeting time:Th5:45PM-9:00PM,Location:CDMCT 00527atLoop Campus,Devin Bell,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=994,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20162&ClassNbr=22689&fid=776099
ANI 425,Winter 2014-2015,Section:801,Class number:20453,Meeting time:Tu5:45PM-9:00PM,Location:CDMCT 00527atLoop Campus,Devin Bell,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=994,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20152&ClassNbr=20453&fid=776099
ANI 425,Winter 2013-2014,Section:801,Class number:20558,Meeting time:Th5:45PM-9:00PM,Location:CDMCT 00527atLoop Campus,,,
ANI 425,Winter 2012-2013,Section:801,Class number:25974,Meeting time:Th5:45PM-9:00PM,Location:CDMCT 00527atLoop Campus,Devin Bell,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=994,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20132&ClassNbr=25974&fid=776099
ANI 425,Winter 2011-2012,Section:801,Class number:25464,Meeting time:M5:45PM-9:00PM,Location:CDM 00722atLoop Campus,Devin Bell,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=994,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20122&ClassNbr=25464&fid=776099
ANI 422,Winter 2015-2016,Section:801,Class number:22688,Meeting time:W5:45PM-9:00PM,Location:CDMCT 00527atLoop Campus,Lisa Barcy,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=444,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20162&ClassNbr=22688&fid=103962
ANI 422,Winter 2014-2015,Section:801,Class number:20452,Meeting time:W5:45PM-9:00PM,Location:CDMCT 00527atLoop Campus,Lisa Barcy,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=444,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20152&ClassNbr=20452&fid=103962
ANI 422,Winter 2013-2014,Section:801,Class number:20557,Meeting time:W5:45PM-9:00PM,Location:CDMCT 00527atLoop Campus,Lisa Barcy,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=444,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20142&ClassNbr=20557&fid=103962
ANI 422,Winter 2012-2013,Section:801,Class number:25972,Meeting time:W5:45PM-9:00PM,Location:CDMCT 00527atLoop Campus,Lisa Barcy,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=444,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20132&ClassNbr=25972&fid=103962
ANI 422,Winter 2011-2012,Section:801,Class number:25455,Meeting time:W5:45PM-9:00PM,Location:CDM 00722atLoop Campus,Lisa Barcy,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=444,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20122&ClassNbr=25455&fid=103962
ANI 444,Spring 2014-2015,Section:601,Class number:30443,Meeting time:TuTh1:30PM-3:00PM,Location:CDM 00722atLoop Campus,James Taylor,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=459,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20153&ClassNbr=30443&fid=646628
ANI 444,Spring 2013-2014,Section:901,Class number:30540,Meeting time:Th5:45PM-9:00PM,Location:CDMCT 00527atLoop Campus,James Taylor,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=459,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20143&ClassNbr=30540&fid=646628
ANI 444,Spring 2012-2013,Section:901,Class number:35557,Meeting time:Th5:45PM-9:00PM,Location:CDMCT 00527atLoop Campus,James Taylor,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=459,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20133&ClassNbr=35557&fid=646628
ANI 444,Spring 2011-2012,Section:901,Class number:35672,Meeting time:M5:45PM-9:00PM,Location:CDM 00722atLoop Campus,James Taylor,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=459,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20123&ClassNbr=35672&fid=646628
ANI 444,Fall 2010-2011,Section:701,Class number:15056,Meeting time:M5:45PM-9:00PM,Location:CDM 00722atLoop Campus,James Taylor,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=459,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20111&ClassNbr=15056&fid=646628
ANI 440,Spring 2014-2015,Section:901,Class number:30449,Meeting time:W5:45PM-9:00PM,Location:CDMCT 00527atLoop Campus,Meghann Artes,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=996,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20153&ClassNbr=30449&fid=779480
ANI 440,Spring 2013-2014,Section:901,Class number:30550,Meeting time:M5:45PM-9:00PM,Location:CDMCT 00527atLoop Campus,Devin Bell,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=994,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20143&ClassNbr=30550&fid=776099
ANI 440,Spring 2012-2013,Section:901,Class number:35597,Meeting time:Tu5:45PM-9:00PM,Location:CDMCT 00527atLoop Campus,Meghann Artes,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=996,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20133&ClassNbr=35597&fid=779480
ANI 440,Spring 2011-2012,Section:901,Class number:35704,Meeting time:W5:45PM-9:00PM,Location:CDM 00722atLoop Campus,Meghann Artes,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=996,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20123&ClassNbr=35704&fid=779480
ANI 466,Spring 2014-2015,Section:901,Class number:30450,Meeting time:M5:45PM-9:00PM,Location:CDM 0436AatLoop Campus,Alexander Stewart,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=446,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20153&ClassNbr=30450&fid=104536
ANI 466,Spring 2013-2014,Section:901,Class number:30551,Meeting time:Tu5:45PM-9:00PM,Location:CDM 0436AatLoop Campus,Andrew Roche,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=987,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20143&ClassNbr=30551&fid=774136
ANI 466,Spring 2012-2013,Section:901,Class number:35599,Meeting time:W5:45PM-9:00PM,Location:CDM 0436AatLoop Campus,Alexander Stewart,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=446,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20133&ClassNbr=35599&fid=104536
ANI 466,Spring 2011-2012,Section:901,Class number:35811,Meeting time:Th5:45PM-9:00PM,Location:CDM 00540atLoop Campus,Alexander Stewart,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=446,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20123&ClassNbr=35811&fid=104536
ANI 540,Winter 2015-2016,Section:801,Class number:26725,Meeting time:M5:45PM-7:15PM,Location:CDMCT 00527atLoop Campus,Lisa Barcy,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=444,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20162&ClassNbr=26725&fid=103962
ANI 540,Fall 2014-2015,Section:701,Class number:10685,Meeting time:M5:45PM-7:15PM,Location:CDM 00722atLoop Campus,Lisa Barcy,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=444,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20151&ClassNbr=10685&fid=103962
ANI 540,Fall 2013-2014,Section:701,Class number:16599,Meeting time:M5:45PM-7:15PM,Location:CDMCT 00527atLoop Campus,,,
ANI 540,Fall 2012-2013,Section:701,Class number:15317,Meeting time:Th5:45PM-7:15PM,Location:CDM 00722atLoop Campus,,,
ANI 541,Winter 2014-2015,Section:801,Class number:20463,Meeting time:M5:45PM-7:15PM,Location:CDMCT 00527atLoop Campus,Lisa Barcy,http://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=444,http://www.cdm.depaul.edu/academics/pages/classinfo.aspx?Term=20152&ClassNbr=20463&fid=103962
ANI 541,Winter 2013-2014,Section:801,Class number:20572,Meeting time:M5:45PM-7:15PM,Location:CDMCT 00527atLoop Campus,,,
ANI 541,Winter 2012-2013,Section:801,Class number:25997,Meeting time:M5:45PM-7:15PM,Location:CDMCT 00527atLoop Campus,,,
